,Team 1,score,Team 2,year,Team1 goals,Team2 goals
0,Twente,2–2,Inter Milan,2010/11,2,2
1,Werder Bremen,2–2,Tottenham Hotspur,2010/11,2,2
2,Tottenham Hotspur,4–1,Twente,2010/11,4,1
3,Inter Milan,4–0,Werder Bremen,2010/11,4,0
4,Inter Milan,4–3,Tottenham Hotspur,2010/11,4,3
5,Twente,1–1,Werder Bremen,2010/11,1,1
6,Tottenham Hotspur,3–1,Inter Milan,2010/11,3,1
7,Werder Bremen,0–2,Twente,2010/11,0,2
8,Inter Milan,1–0,Twente,2010/11,1,0
9,Tottenham Hotspur,3–0,Werder Bremen,2010/11,3,0
10,Twente,3–3,Tottenham Hotspur,2010/11,3,3
11,Werder Bremen,3–0,Inter Milan,2010/11,3,0
12,Lyon,1–0,Schalke 04,2010/11,1,0
13,Benfica,2–0,Hapoel Tel Aviv,2010/11,2,0
14,Hapoel Tel Aviv,1–3,Lyon,2010/11,1,3
15,Schalke 04,2–0,Benfica,2010/11,2,0
16,Schalke 04,3–1,Hapoel Tel Aviv,2010/11,3,1
17,Lyon,2–0,Benfica,2010/11,2,0
18,Hapoel Tel Aviv,0–0,Schalke 04,2010/11,0,0
19,Benfica,4–3,Lyon,2010/11,4,3
20,Schalke 04,3–0,Lyon,2010/11,3,0
21,Hapoel Tel Aviv,3–0,Benfica,2010/11,3,0
22,Lyon,2–2,Hapoel Tel Aviv,2010/11,2,2
23,Benfica,1–2,Schalke 04,2010/11,1,2
24,Manchester United,0–0,Rangers,2010/11,0,0
25,Bursaspor,0–4,Valencia,2010/11,0,4
26,Valencia,0–1,Manchester United,2010/11,0,1
27,Rangers,1–0,Bursaspor,2010/11,1,0
28,Rangers,1–1,Valencia,2010/11,1,1
29,Manchester United,1–0,Bursaspor,2010/11,1,0
30,Valencia,3–0,Rangers,2010/11,3,0
31,Bursaspor,0–3,Manchester United,2010/11,0,3
32,Rangers,0–1,Manchester United,2010/11,0,1
33,Valencia,6–1,Bursaspor,2010/11,6,1
34,Manchester United,1–1,Valencia,2010/11,1,1
35,Bursaspor,1–1,Rangers,2010/11,1,1
36,Barcelona,5–1,Panathinaikos,2010/11,5,1
37,Copenhagen,1–0,Rubin Kazan,2010/11,1,0
38,Rubin Kazan,1–1,Barcelona,2010/11,1,1
39,Panathinaikos,0–2,Copenhagen,2010/11,0,2
40,Panathinaikos,0–0,Rubin Kazan,2010/11,0,0
41,Barcelona,2–0,Copenhagen,2010/11,2,0
42,Rubin Kazan,0–0,Panathinaikos,2010/11,0,0
43,Copenhagen,1–1,Barcelona,2010/11,1,1
44,Rubin Kazan,1–0,Copenhagen,2010/11,1,0
45,Panathinaikos,0–3,Barcelona,2010/11,0,3
46,Barcelona,2–0,Rubin Kazan,2010/11,2,0
47,Copenhagen,3–1,Panathinaikos,2010/11,3,1
48,Bayern Munich,2–0,Roma,2010/11,2,0
49,CFR Cluj,2–1,Basel,2010/11,2,1
50,Basel,1–2,Bayern Munich,2010/11,1,2
51,Roma,2–1,CFR Cluj,2010/11,2,1
52,Roma,1–3,Basel,2010/11,1,3
53,Bayern Munich,3–2,CFR Cluj,2010/11,3,2
54,Basel,2–3,Roma,2010/11,2,3
55,CFR Cluj,0–4,Bayern Munich,2010/11,0,4
56,Roma,3–2,Bayern Munich,2010/11,3,2
57,Basel,1–0,CFR Cluj,2010/11,1,0
58,Bayern Munich,3–0,Basel,2010/11,3,0
59,CFR Cluj,1–1,Roma,2010/11,1,1
60,Marseille,0–1,Spartak Moscow,2010/11,0,1
61,Žilina,1–4,Chelsea,2010/11,1,4
62,Spartak Moscow,3–0,Žilina,2010/11,3,0
63,Chelsea,2–0,Marseille,2010/11,2,0
64,Spartak Moscow,0–2,Chelsea,2010/11,0,2
65,Marseille,1–0,Žilina,2010/11,1,0
66,Chelsea,4–1,Spartak Moscow,2010/11,4,1
67,Žilina,0–7,Marseille,2010/11,0,7
68,Spartak Moscow,0–3,Marseille,2010/11,0,3
69,Chelsea,2–1,Žilina,2010/11,2,1
70,Marseille,1–0,Chelsea,2010/11,1,0
71,Žilina,1–2,Spartak Moscow,2010/11,1,2
72,Real Madrid,2–0,Ajax,2010/11,2,0
73,Milan,2–0,Auxerre,2010/11,2,0
74,Auxerre,0–1,Real Madrid,2010/11,0,1
75,Ajax,1–1,Milan,2010/11,1,1
76,Ajax,2–1,Auxerre,2010/11,2,1
77,Real Madrid,2–0,Milan,2010/11,2,0
78,Auxerre,2–1,Ajax,2010/11,2,1
79,Milan,2–2,Real Madrid,2010/11,2,2
80,Ajax,0–4,Real Madrid,2010/11,0,4
81,Auxerre,0–2,Milan,2010/11,0,2
82,Real Madrid,4–0,Auxerre,2010/11,4,0
83,Milan,0–2,Ajax,2010/11,0,2
84,Arsenal,6–0,Braga,2010/11,6,0
85,Shakhtar Donetsk,1–0,Partizan,2010/11,1,0
86,Partizan,1–3,Arsenal,2010/11,1,3
87,Braga,0–3,Shakhtar Donetsk,2010/11,0,3
88,Braga,2–0,Partizan,2010/11,2,0
89,Arsenal,5–1,Shakhtar Donetsk,2010/11,5,1
90,Partizan,0–1,Braga,2010/11,0,1
91,Shakhtar Donetsk,2–1,Arsenal,2010/11,2,1
92,Braga,2–0,Arsenal,2010/11,2,0
93,Partizan,0–3,Shakhtar Donetsk,2010/11,0,3
94,Arsenal,3–1,Partizan,2010/11,3,1
95,Shakhtar Donetsk,2–0,Braga,2010/11,2,0
0,Manchester City,1–1,Napoli,2011/12,1,1
1,Villarreal,0–2,Bayern Munich,2011/12,0,2
2,Bayern Munich,2–0,Manchester City,2011/12,2,0
3,Napoli,2–0,Villarreal,2011/12,2,0
4,Napoli,1–1,Bayern Munich,2011/12,1,1
5,Manchester City,2–1,Villarreal,2011/12,2,1
6,Bayern Munich,3–2,Napoli,2011/12,3,2
7,Villarreal,0–3,Manchester City,2011/12,0,3
8,Napoli,2–1,Manchester City,2011/12,2,1
9,Bayern Munich,3–1,Villarreal,2011/12,3,1
10,Manchester City,2–0,Bayern Munich,2011/12,2,0
11,Villarreal,0–2,Napoli,2011/12,0,2
